name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
세라핀,A,1.200883002,6.164948454,0.886597938,0.154639175,148.1340206,1.298969072,0,2.484536082,10531.51546,1398.268041,15410.62887,3242.659794,9069.969072,17240.45361,117775.3093,15463.6701,0,0,26.18556701
세주아니,A,0.733333333,0,3,0,87,1,26,3,9958,7804,5355,4603,14235,14315,73572,23765,0,0,37
세트,A,1.920536636,8.946564885,1.65648855,0.290076336,136.3816794,1.427480916,133.8931298,3.129770992,11430.83969,14619.22901,289.5648855,3721.320611,18747.44275,18958.38931,113039.6412,31316.01527,0,0,24.9389313
소나,A,1.02173913,2.055555556,0.555555556,0,89.77777778,1.166666667,0,1.388888889,8594.222222,1668.111111,11294.44444,8676.277778,10042.05556,13118.83333,56760.16667,17691.72222,0,0,11.05555556
소라카,A,0.898148148,6.034482759,0.689655172,0.103448276,109,1.068965517,115.6896552,1.448275862,9201.62069,2728.586207,9427.275862,12475.13793,11231.62069,12341.27586,80219.37931,18976.75862,0,0,44.51724138
쉔,A,0.843023256,6.642857143,0.5,0,117.8571429,1.214285714,55.92857143,2.642857143,10036.78571,6465.857143,5401.571429,2048.285714,14446.78571,12382.28571,74004.78571,20848.07143,0,0,30.28571429
쉬바나,A,2.8,2.25,0.5,0,103.75,1,0,0.5,6935.5,960.25,10123,986.25,6987.5,11298.5,66856.5,13062.25,0,0,0
스웨인,A,1.411394102,6.705416116,0.85997358,0.155878468,138.6116248,1.628797886,0.033025099,3.597093791,11238.4148,1437.904888,19314.51387,6929.14531,13818.31836,21515.65786,110107.782,24587.03699,0,0,37.88110964
스카너,A,6,0,0,0,13.5,0.5,0,0,4244,287,81.5,25.5,2953,434.5,6063.5,3803,0,0,1.5
시비르,A,1.419843549,12.22028353,1.481733915,0.214830971,176.4621047,1.41521265,256.8830425,2.76608506,11589.56816,18648.02999,144.4803708,2605.991821,10373.06734,19198.14258,152269.8563,16973.98201,0,0,1.408669575
신 짜오,A,2.672985782,17.14634146,1.048780488,0.170731707,91.51219512,1.390243902,260.097561,2.829268293,9417.658537,14559.63415,1266,5313.707317,13289.14634,16561.5122,89657.26829,21686.4878,0,0,15.19512195
신드라,A,1.724068071,8.145061728,0.848765432,0.101851852,160.2283951,1.345679012,0,3.231481481,11427.47531,905.4722222,19997.34259,2009.608025,9527.364198,21253.29321,124193.8241,16660.69444,0,0,34.66358025
